Model;Sku;Product Name;Description;Meta Tag Title;Meta Tag Description;Meta Tag Keywords;Product Tags;Diameter;Metal;Manufacturer;Category1;Category 2;Category 3;Stone Breakdown;Diamond CTTW provided;Color;Clarity;Price ;;;;
41005-0075-30;41005-0075-30;14k White Gold Classic Diamond Hoop Earrings 2/3 Carat;These classic diamond hoop earrings feature two thirds of a carat of sparkling round diamonds on a 30mm hoop with a secure  locking clasp. Crafted with pride in USA.;14k White Gold Classic Diamond Hoop Earrings 2/3 Carat;These classic diamond hoop earrings feature two thirds of a carat of sparkling round diamonds on a 30mm hoop with a secure  locking clasp. Crafted with pride in USA.;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;30mm;14k White Gold;Overnight;Diamond Earrings;;;84;0.66 ctw;H-I;SI2;$1 825,00 ;;;;
41005-0075-30;41005-0075-30;14k Yellow Gold Classic Diamond Hoop Earrings 2/3 Carat;These classic diamond hoop earrings feature two thirds of a carat of sparkling round diamonds on a 30mm hoop with a secure  locking clasp. Crafted with pride in USA.;14k Yellow Gold Classic Diamond Hoop Earrings 2/3 Carat;These classic diamond hoop earrings feature two thirds of a carat of sparkling round diamonds on a 30mm hoop with a secure  locking clasp. Crafted with pride in USA.;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;30mm;14k Yellow Gold ;Overnight;Diamond Earrings;;;84;0.66 ctw;H-I;SI2;$1 825,00 ;;;;
41005-0075-30;41005-0075-30;14k Rose Gold Classic Diamond Hoop Earrings 2/3 Carat;These classic diamond hoop earrings feature two thirds of a carat of sparkling round diamonds on a 30mm hoop with a secure  locking clasp. Crafted with pride in USA.;14k Rose Gold Classic Diamond Hoop Earrings 2/3 Carat;These classic diamond hoop earrings feature two thirds of a carat of sparkling round diamonds on a 30mm hoop with a secure  locking clasp. Crafted with pride in USA.;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;30mm;14k Rose Gold;Overnight;Diamond Earrings;;;84;0.66 ctw;H-I;SI2;$1 825,00 ;;;;
41005-01-20;41005-01-20;14k White Gold Classic Diamond Hoop Earrings 1/2 Carat;These classic diamond hoop earrings feature one half of a carat of sparkling round diamonds on a 20mm hoop with a secure  locking clasp. Crafted with pride in USA.;14k White Gold Classic Diamond Hoop Earrings 1/2 Carat;These classic diamond hoop earrings feature one half of a carat of sparkling round diamonds on a 20mm hoop with a secure  locking clasp. Crafted with pride in USA.;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;20mm;14k White Gold;Overnight;Diamond Earrings;;;50;0.50 ctw;H-I;SI2;$1 350,00 ;;;;
41005-01-20;41005-01-20;14k Yellow Gold Classic Diamond Hoop Earrings 1/2 Carat;These classic diamond hoop earrings feature one half of a carat of sparkling round diamonds on a 20mm hoop with a secure  locking clasp. Crafted with pride in USA.;14k Yellow Gold Classic Diamond Hoop Earrings 1/2 Carat;These classic diamond hoop earrings feature one half of a carat of sparkling round diamonds on a 20mm hoop with a secure  locking clasp. Crafted with pride in USA.;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;20mm;14k Yellow Gold ;Overnight;Diamond Earrings;;;50;0.50 ctw;H-I;SI2;$1 350,00 ;;;;
41005-01-20;41005-01-20;14k Rose Gold Classic Diamond Hoop Earrings 1/2 Carat;These classic diamond hoop earrings feature one half of a carat of sparkling round diamonds on a 20mm hoop with a secure  locking clasp. Crafted with pride in USA.;14k Rose Gold Classic Diamond Hoop Earrings 1/2 Carat;These classic diamond hoop earrings feature one half of a carat of sparkling round diamonds on a 20mm hoop with a secure  locking clasp. Crafted with pride in USA.;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;20mm;14k Rose Gold;Overnight;Diamond Earrings;;;50;0.50 ctw;H-I;SI2;$1 350,00 ;;;;
41005-0125-36;41005-0125-36;14k White Gold Classic Diamond Hoop Earrings 1 1/4 Carat;These classic diamond hoop earrings feature one and a quarter carats of sparkling round diamonds on a 36mm hoop with a secure  locking clasp. Crafted with pride in USA.;14k White Gold Classic Diamond Hoop Earrings 1 1/4 Carat;These classic diamond hoop earrings feature one and a quarter carats of sparkling round diamonds on a 36mm hoop with a secure  locking clasp. Crafted with pride in USA.;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;36mm;14k White Gold;Overnight;Diamond Earrings;;;94;1.25 ctw;H-I;SI2;$2 775,00 ;;;;
41005-0125-36;41005-0125-36;14k Yellow Gold Classic Diamond Hoop Earrings 1 1/4 Carat;These classic diamond hoop earrings feature one and a quarter carats of sparkling round diamonds on a 36mm hoop with a secure  locking clasp. Crafted with pride in USA.;14k Yellow Gold Classic Diamond Hoop Earrings 1 1/4 Carat;These classic diamond hoop earrings feature one and a quarter carats of sparkling round diamonds on a 36mm hoop with a secure  locking clasp. Crafted with pride in USA.;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;36mm;14k Yellow Gold ;Overnight;Diamond Earrings;;;94;1.25 ctw;H-I;SI2;$2 775,00 ;;;;
41005-0125-36;41005-0125-36;14k Rose Gold Classic Diamond Hoop Earrings 1 1/4 Carat;These classic diamond hoop earrings feature one and a quarter carats of sparkling round diamonds on a 36mm hoop with a secure  locking clasp. Crafted with pride in USA.;14k Rose Gold Classic Diamond Hoop Earrings 1 1/4 Carat;These classic diamond hoop earrings feature one and a quarter carats of sparkling round diamonds on a 36mm hoop with a secure  locking clasp. Crafted with pride in USA.;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;36mm;14k Rose Gold;Overnight;Diamond Earrings;;;94;1.25 ctw;H-I;SI2;$2 775,00 ;;;;
41005-015-25;41005-015-25;14k White Gold Classic Diamond Hoop Earrings 1 Carat;These classic diamond hoop earrings feature one carat of sparkling round diamonds on a 25mm hoop with a secure  locking clasp. Crafted with pride in USA.;14k White Gold Classic Diamond Hoop Earrings 1 Carat;These classic diamond hoop earrings feature one carat of sparkling round diamonds on a 25mm hoop with a secure  locking clasp. Crafted with pride in USA.;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;25mm;14k White Gold;Overnight;Diamond Earrings;;;60;1.00 ctw;H-I;SI2;$1 895,00 ;;;;
41005-015-25;41005-015-25;14k Yellow Gold Classic Diamond Hoop Earrings 1 Carat;These classic diamond hoop earrings feature one carat of sparkling round diamonds on a 25mm hoop with a secure  locking clasp. Crafted with pride in USA.;14k Yellow Gold Classic Diamond Hoop Earrings 1 Carat;These classic diamond hoop earrings feature one carat of sparkling round diamonds on a 25mm hoop with a secure  locking clasp. Crafted with pride in USA.;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;25mm;14k Yellow Gold ;Overnight;Diamond Earrings;;;60;1.00 ctw;H-I;SI2;$1 895,00 ;;;;
41005-015-25;41005-015-25;14k Rose Gold Classic Diamond Hoop Earrings 1 Carat;These classic diamond hoop earrings feature one carat of sparkling round diamonds on a 25mm hoop with a secure  locking clasp. Crafted with pride in USA.;14k Rose Gold Classic Diamond Hoop Earrings 1 Carat;These classic diamond hoop earrings feature one carat of sparkling round diamonds on a 25mm hoop with a secure  locking clasp. Crafted with pride in USA.;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;25mm;14k Rose Gold;Overnight;Diamond Earrings;;;60;1.00 ctw;H-I;SI2;$1 895,00 ;;;;
41005-02-20;41005-02-20;14k White Gold Classic Diamond Hoop Earrings 2/3 Carat;These classic diamond hoop earrings feature two thirds of a carat of sparkling round diamonds on a 20mm hoop with a secure  locking clasp. Crafted with pride in USA.;14k White Gold Classic Diamond Hoop Earrings 2/3 Carat;These classic diamond hoop earrings feature two thirds of a carat of sparkling round diamonds on a 20mm hoop with a secure  locking clasp. Crafted with pride in USA.;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;20mm;14k White Gold;Overnight;Diamond Earrings;;;34;0.66 ctw;H-I;SI2;$1 495,00 ;;;;
41005-02-20;41005-02-20;14k Yellow Gold Classic Diamond Hoop Earrings 2/3 Carat;These classic diamond hoop earrings feature two thirds of a carat of sparkling round diamonds on a 20mm hoop with a secure  locking clasp. Crafted with pride in USA.;14k Yellow Gold Classic Diamond Hoop Earrings 2/3 Carat;These classic diamond hoop earrings feature two thirds of a carat of sparkling round diamonds on a 20mm hoop with a secure  locking clasp. Crafted with pride in USA.;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;20mm;14k Yellow Gold ;Overnight;Diamond Earrings;;;34;0.66 ctw;H-I;SI2;$1 495,00 ;;;;
41005-02-20;41005-02-20;14k Rose Gold Classic Diamond Hoop Earrings 2/3 Carat;These classic diamond hoop earrings feature two thirds of a carat of sparkling round diamonds on a 20mm hoop with a secure  locking clasp. Crafted with pride in USA.;14k Rose Gold Classic Diamond Hoop Earrings 2/3 Carat;These classic diamond hoop earrings feature two thirds of a carat of sparkling round diamonds on a 20mm hoop with a secure  locking clasp. Crafted with pride in USA.;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;20mm;14k Rose Gold;Overnight;Diamond Earrings;;;34;0.66 ctw;H-I;SI2;$1 495,00 ;;;;
41005-02-35;41005-02-35;14k White Gold Classic Diamond Hoop Earrings 1 1/2 Carat;These classic diamond hoop earrings feature one and a half carats of sparkling round diamonds on a 35mm hoop with a secure  locking clasp. Crafted with pride in USA.;14k White Gold Classic Diamond Hoop Earrings 1 1/2 Carat;These classic diamond hoop earrings feature one and a half carats of sparkling round diamonds on a 35mm hoop with a secure  locking clasp. Crafted with pride in USA.;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;35mm;14k White Gold;Overnight;Diamond Earrings;;;80;1.50 ctw;H-I;SI2;$3 150,00 ;;;;
41005-02-35;41005-02-35;14k Yellow Gold Classic Diamond Hoop Earrings 1 1/2 Carat;These classic diamond hoop earrings feature one and a half carats of sparkling round diamonds on a 35mm hoop with a secure  locking clasp. Crafted with pride in USA.;14k Yellow Gold Classic Diamond Hoop Earrings 1 1/2 Carat;These classic diamond hoop earrings feature one and a half carats of sparkling round diamonds on a 35mm hoop with a secure  locking clasp. Crafted with pride in USA.;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;35mm;14k Yellow Gold ;Overnight;Diamond Earrings;;;80;1.50 ctw;H-I;SI2;$3 150,00 ;;;;
41005-02-35;41005-02-35;14k Rose Gold Classic Diamond Hoop Earrings 1 1/2 Carat;These classic diamond hoop earrings feature one and a half carats of sparkling round diamonds on a 35mm hoop with a secure  locking clasp. Crafted with pride in USA.;14k Rose Gold Classic Diamond Hoop Earrings 1 1/2 Carat;These classic diamond hoop earrings feature one and a half carats of sparkling round diamonds on a 35mm hoop with a secure  locking clasp. Crafted with pride in USA.;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;35mm;14k Rose Gold;Overnight;Diamond Earrings;;;80;1.50 ctw;H-I;SI2;$3 150,00 ;;;;
41005-03-20;41005-03-20;14k White Gold Classic Diamond Hoop Earrings 1 Carat;These classic diamond hoop earrings feature one carat of sparkling round diamonds on a 20mm hoop with a secure  locking clasp. Crafted with pride in USA.;14k White Gold Classic Diamond Hoop Earrings 1 Carat;These classic diamond hoop earrings feature one carat of sparkling round diamonds on a 20mm hoop with a secure  locking clasp. Crafted with pride in USA.;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;20mm;14k White Gold;Overnight;Diamond Earrings;;;34;1.00 ctw;H-I;SI2;$1 995,00 ;;;;
41005-03-20;41005-03-20;14k Yellow Gold Classic Diamond Hoop Earrings 1 Carat;These classic diamond hoop earrings feature one carat of sparkling round diamonds on a 20mm hoop with a secure  locking clasp. Crafted with pride in USA.;14k Yellow Gold Classic Diamond Hoop Earrings 1 Carat;These classic diamond hoop earrings feature one carat of sparkling round diamonds on a 20mm hoop with a secure  locking clasp. Crafted with pride in USA.;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;20mm;14k Yellow Gold ;Overnight;Diamond Earrings;;;34;1.00 ctw;H-I;SI2;$1 995,00 ;;;;
41005-03-20;41005-03-20;14k Rose Gold Classic Diamond Hoop Earrings 1 Carat;These classic diamond hoop earrings feature one carat of sparkling round diamonds on a 20mm hoop with a secure  locking clasp. Crafted with pride in USA.;14k Rose Gold Classic Diamond Hoop Earrings 1 Carat;These classic diamond hoop earrings feature one carat of sparkling round diamonds on a 20mm hoop with a secure  locking clasp. Crafted with pride in USA.;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;20mm;14k Rose Gold;Overnight;Diamond Earrings;;;34;1.00 ctw;H-I;SI2;$1 995,00 ;;;;
41005-03-24;41005-03-24;14k White Gold Classic Diamond Hoop Earrings 1 Carat;These classic diamond hoop earrings feature one and a quarter carats of sparkling round diamonds on a 24mm hoop with a secure  locking clasp. Crafted with pride in USA.;14k White Gold Classic Diamond Hoop Earrings 1 Carat;These classic diamond hoop earrings feature one and a quarter carats of sparkling round diamonds on a 24mm hoop with a secure  locking clasp. Crafted with pride in USA.;Studs,diamond studs,diamond earrings,diamond hoops,diamond,diamonds,loose diamonds,engagement ring,proposal,wedding rings,jewelry,fine jewelry,diamond jewelry,diamond rings,18k gold,gold,14k gold,platinum,sterling silver,pearls,sapphire,emerald,ruby,earrings,necklaces,bracelets,rings,diamond education,guidance,diamonds and fine jewelry,ideal cut,GIA, cut,clarity,color,carat,settings,engaged, present, gift, earrings, anniversary ;;24mm;14k White Gold;Overnight;Diamond Earrings;;;44;1.25 ctw;H-I;SI2;$2 450,00 ;;;;
