Vendor SKU,Category,Center Stone Type,Center Stone Shape,Center Stone Color,# of Center Stones,Center Stone Measurements,Center Stone Weight,Total Diamond Weight,# of side Diamonds,Color of Side diamonds,Clarity of Side diamonds,# of Pave Diamonds,Color of Pave diamonds,Clarity of Pave Diamonds,Metal,Ring Size,Item Name,R2Net Cost,Suggested Retail,Shank Width in MM,Shank Height,Image Name,Long Description
P12305,PDT,Sapphire,PS,Blue,1,,3.05,0.81,1,SI1,SI1,97,GH,SI1,18KW,,,4250.00,8500.00,0.00,0.00,p12305.JPG,18K White Gold Micro Pave Pendant 3.05ct Pear Blue Sapphire D.59
NET302S,NL,Sapphire,PS,Blue,1,,3.02,0.44,0,,SI1,30,GH,SI1,18KW,,,2995.00,5990.00,0.00,0.00,net302s.JPG,SAP 3.02. D.44. 18KW
RHF576Y,RG,Y. Sapphire,Cushion,Yellow,1,,5.76,1.20,2,SI1,SI1,46,GH,SI1,18KW,6.5,"""Cercil"" Ring",5000.00,10000.00,3.30,2.80,RHF576Y.jpg,18K White Gold Three Stone Halo Ring 5.76ct Cushion Yellow Sapphire HM.73 RD.47
R8H1298F,RG,Opal,Oval,Orange,1,12.8x9.2,2.79,0.64,0,SI1,SI1,152,GH,SI1,18KW,6.5,"""Adrasteia"" Ring",2250.00,4500.00,2.00,3.70,R8H1298F.JPG,18K White Gold Double Halo Twisted Shank Ring 2.79ct Oval Fire Opal D.64
GF2717PB,ERNG,Paraiba,Oval,Blue,2,,30.62,0.81,0,,SI1,0,GH,SI1,18KW,,,7000.00,14000.00,0.00,0.00,GF2717PB.jpg,Paraiba 30.62ct. P. Tourmaline 2/0.90ct. Dia0.81ct. 18K White Gold
GF3015E,ERNG,Emerald,Oval,Green,2,,32.25,1.71,0,,SI1,234,GH,SI1,18KW,,,3750.00,7500.00,0.00,0.00,GF3015E.jpg,EM 2/32.15 P.TRM 2/.90 D 234/1.71 18W
GF3321PB,ERNG,Paraiba,PS,Blue,2,,33.21,1.55,0,,SI1,184,GH,SI1,18KW,,,9500.00,19000.00,0.00,0.00,GF3321PB.jpg,Paraiba 33.21ct. Pink Tourmaline 4/1.02ct. Rd Par 10/0.30ct. Dia 184/1.55ct. 18K White Gold
RFH150R,RG,Ruby,Round,Red,1,,1.50,0.95,2,SI1,SI1,104,GH,SI1,18KW,6.5,"""Fire""Ring",3450.00,6900.00,0.00,0.00,RFH150R.jpg,Three Stone Halo Ring. Ruby 1.50ct. Half Moon 2/.21ct. Rd. Dia 104/.74
REF412S,RG,Sapphire,EC,Blue,0,,0.00,0.00,0,,,0,,,18KW,,,11000.00,22000.00,0.00,0.00,ref412s.jpg,SAPPHIRE 4.12CT. FANCY DIA. 0.69CT. RD DIA. 86/0.51CT. 18W
RPC541S,RG,Sapphire,Oval,Blue,0,,0.00,0.00,0,,,0,,,18KW,,,6950.00,13900.00,0.00,0.00,rpc541s.jpg,Sapphire 5.41ct. Dia 2.10ct. 18KW
P3193R,PDT,Ruby,PS,Red,1,,1.93,0.35,0,SI1,SI1,0,GH,SI1,18KW,,,3250.00,6500.00,0.00,0.00,P3193R.jpg,18K White Gold Twisted Halo Micro Pave Pendant 1.93ct Pear Ruby D.35
GPC60P,ERNG,P. Sapphire,Oval,Pink,24,,0.60,0.82,0,,SI1,0,GH,SI1,18KW,,,2300.00,4600.00,0.00,0.00,gpc60p.jpg,P. SAPPHIRE 0.62CT. DIA 0.82CT. 18W
RYC272E,RG,Emerald,Oval,Green,1,,2.72,1.54,0,,SI1,0,GH,SI1,18KW,6.5,,9750.00,19500.00,0.00,0.00,ryc272e.jpg,Emerald 2.72ct. DIA 1.54ct 18W
BPC64E,BNGL,Emerald,,Green,18,,6.10,2.35,0,,SI1,0,GH,SI1,18KW,,,13000.00,26000.00,0.00,0.00,bpc64e.jpg,EMERALD 18/6.10CT. DIA 2.35CT. 18W
NP3805,NL,Sapphire,Round,Blue,53,,38.25,4.50,0,,SI1,0,GH,SI1,18KW,,,33750.00,67500.00,0.00,0.00,NP3805.jpg,Sap 53/38.25ct. Dia 4.50c. 18KW
RBD237R,RG,Ruby,Oval,Red,3,,2.37,0.58,0,,SI1,2,GH,SI1,18KW,6.5,,7000.00,14000.00,0.00,0.00,rbd237r.jpg,Ruby 3/2.37ct. Dia 2/0.58ct. 18W
GPC429P,ERNG,P. Sapphire,Oval,Pink,2,,4.29,1.47,2,SI1,SI1,0,GH,SI1,18KW,,,6250.00,12500.00,0.00,0.00,gpc429p.jpg,P. SAPPHIRE 2/4.29CT. EM DIA 2/0.67CT. DIA 0.80CT. 18W
RH4S257,RG,Sapphire,,Blue,1,,2.57,0.83,2,SI1,SI1,38,GH,SI1,18KW,6.5,"""Concepcion"" Ring",4250.00,8500.00,0.00,0.00,RH4S257.jpg,SA 2.57. HM.41. RD.42. 18KW
RH2S187,RG,Sapphire,Cushion,Blue,1,,1.87,0.86,2,SI1,SI1,48,GH,SI1,18KW,6.5,"""Temuco"" Ring",5250.00,10500.00,0.00,0.00,RH2S187.jpg,SA 1.87. HM.33. RD.53. 18KW
RHV8370S,RG,Sapphire,CC,Blue,1,,2.55,0.84,2,SI1,SI1,52,GH,SI1,18KW,6.5,"""Urania"" Ring",5500.00,11000.00,7.30,8.20,rhv8370s.JPG,18K White Three Stone Halo Ring 2.55ct Cushion Blue Sapphire HM.29 D.55
GFL43E165,ERNG,Emerald,Oval,Green,10,,1.65,0.45,0,,SI1,62,GH,SI1,18KW,,,1500.00,3000.00,0.00,0.00,GFL43E.JPG,18K White Gold Flower Earring 1.65ct Oval Emerald D 62/.45
GF548P,ERNG,P. Sapphire,Heart Shape,Pink,2,,5.48,0.65,0,,SI1,74,GH,SI1,18KW,,,7250.00,14500.00,0.00,0.00,gf548p.jpg,P. SAPPHIRE 5.48CT. DIA 74/0.65CT. 18W
B756LP,TNSB,P. Sapphire,Oval,Pink,15,,14.85,1.88,0,,,90,,,18KW,,,6995.00,13990.00,0.00,0.00,b756lp.JPG,P. Sapp 14.85ct. Dia 1.88ct. 18W
RMQ209,RG,Sapphire,Marquise,Blue,1,,2.09,0.81,0,SI1,SI1,113,GH,SI1,18KW,6.5,"""Nausikaa"" Ring",3750.00,7500.00,3.70,2.10,rmq209.JPG,18K White Gold Split Shank Halo Ring 2.09ct Marquise Blue Sapphire D.81
R8HR185E,RG,Emerald,Round,Green,1,,1.85,0.80,0,SI1,SI1,132,GH,SI1,18KW,6.5,"""Kyra"" Ring",3125.00,6250.00,2.00,3.60,R8HR185E.jpg,18K White Gold Double Halo Twisted Shank Ring 1.85ct Round Emerald D.80
B43XS96,TNSB,Sapphire,Oval,Blue,27,,6.73,1.78,0,,SI1,135,GH,SI1,18KW,,,4000.00,8000.00,0.00,0.00,b43xs96.jpg,SAPPHIRE 27/6.73CT. DIA 135/1.78CT. 18W
NPC1400S,NL,Sapphire,Oval,Blue,15,,14.00,5.75,0,,SI1,200,GH,SI1,18KW,,,17750.00,35500.00,0.00,0.00,npc1400s.jpg,SAPPHIRE 15/14.00CT. DIA 200/5.75CT. 18W
G4317S,ERNG,Sapphire,Oval,Blue,34,,7.51,1.48,0,SI1,SI1,292,GH,SI1,18KW,,,3750.00,7500.00,0.00,0.00,G4317S.jpg,18K White Gold Micro Pave Earring 7.51ct Oval Blue Sapphire D1.48
FTS23590,STU,Sapphire,Round,Blue,2,,0.90,0.00,0,,,0,,,18KW,,,240.00,480.00,0.00,0.00,fts23590.JPG,SAP 0.90. 18K
G4516E60,ERNG,Emerald,Round,Green,2,4.5,0.60,0.33,0,SI1,SI1,24,GH,SI1,18KW,,,1175.00,2350.00,0.00,0.00,G4516E.JPG,18K White Gold Halo Earring 0.60ct Round Emerald D.30
GM45S70,ERNG,Sapphire,Round,Blue,2,4.5,0.70,0.22,0,SI1,SI1,32,GH,SI1,18KW,,,675.00,1350.00,0.00,0.00,GM45S .jpg,18K White Gold Micro Pave Earring 0.70ct Round Blue Sapphire D.22
RM50E55,RG,Emerald,Round,Green,1,,0.55,0.14,0,SI1,SI1,28,GH,SI1,18KW,6.5,"""Leto"" Ring",750.00,1500.00,0.00,0.00,RM50E.jpg,18K White Gold Halo Ring 0.55ct Round Emerald D.14
RMB62E,RG,Emerald,Round,Green,1,6.6,1.03,0.33,0,SI1,SI1,18,GH,SI1,18KW,6.5,"""Venus"" Ring",1900.00,3800.00,2.20,2.90,RMB62E.jpg,18K White Gold Halo Ring 1.03ct Round Emerald D.33
RR180,STU,Emerald,Round,Green,2,,1.79,0.00,0,,,0,,,18KW,,,900.00,1800.00,0.00,0.00,rr180.JPG,EM 1.79. 18K
R8F62S142,RG,Green Sapphire,Round,Green,1,6.2,1.42,0.50,0,SI1,SI1,120,GH,SI1,18KW,6.5,"""Victoria"" Ring",1500.00,3000.00,2.30,5.50,r8f62s142.JPG,18K White Gold Double Halo Twisted Shank Ring 1.42ct Round Green Sapphire D.50
R8H68S1,RG,Sapphire,Round,Blue,1,6.5,1.58,0.61,0,SI1,SI1,158,GH,SI1,18KW,6.5,"""Ivori"" Ring",2495.00,4990.00,2.00,3.70,R8H68S.jpg,18K White Gold Double Halo Twisted Shank Ring 1.58ct Round Blue Sapphire D.61
P91S,PDT,Sapphire,Round,Blue,10,2.5,0.40,0.21,0,SI1,SI1,18,GH,SI1,18KW,,,425.00,850.00,0.00,0.00,P91S.JPG,18K White Gold Micro Pave Pendant 0.40ct Round Blue Sapphire
G91R,ERNG,Ruby,Round,Red,10,2.5,0.75,0.48,0,SI1,SI1,28,GH,SI1,18KW,,,950.00,1900.00,0.00,0.00,G91R.JPG,18K White Gold Level Back Micro Pave Earring 0.75ct Round Ruby D.48
RCC7256S,RG,Sapphire,CC,Blue,1,,1.34,0.42,0,,SI1,30,GH,SI1,18KW,6.5,"""Semele"" Ring",3250.00,6500.00,0.00,0.00,rcc7256s.JPG,18K White Gold Double Halo Ring 1.34ct Cushion Blue Sapphire D.42
GFL43S240,ERNG,Sapphire,Oval,Blue,10,4x3,2.40,0.45,0,SI1,SI1,62,GH,SI1,18KW,,,1250.00,2500.00,0.00,0.00,gfl43s.JPG,18K White Gold Flower Earring 2.40ct Oval Blue Sapphire D.45
R4044E,RG,Emerald,Round,Green,1,4.00,0.24,0.29,0,SI1,SI1,68,GH,SI1,18KW,6.5,"""Hersilia"" Ring",1100.00,2200.00,1.60,2.70,R4044E.jpg,18K White Gold Micro Pave Ring 0.24ct Round Emerald D.29
R4044R,RG,Ruby,Round,Red,1,4,0.30,0.29,0,SI1,SI1,68,GH,SI1,18KW,6.5,"""Aubrey"" Ring",1000.00,2000.00,1.60,2.50,R4044R.JPG,18K White Gold Micro Pave Ring 0.30ct Round Ruby D.29
R4044S,RG,Sapphire,Round,Blue,1,4,0.30,0.29,0,SI1,SI1,68,GH,SI1,18KW,6.5,"""Iuno"" Ring",1000.00,2000.00,1.60,2.80,R4044S.jpg,18K White Gold Micro Pave Ring 0.30ct Round Blue Sapphire D.29
GM45S80,ERNG,Sapphire,Round,Blue,2,4.5,0.80,0.22,0,SI1,SI1,32,GH,SI1,18KW,,,675.00,1350.00,0.00,0.00,GM45S .jpg,SAP 0.80. D.22 ct. 18KW
R4652P21,RG,Pink Sapphire,Round,Pink,1,6.00,1.00,0.50,0,SI1,SI1,94,GH,SI1,18KW,6.5,"""Aurora"" Ring",1600.00,3200.00,2.00,1.50,R4652P.jpg,18K White Gold Micro Pave Ring 1.00ct Round Pink Sapphire D.50
GD64S115,ERNG,Sapphire,Oval,Blue,2,6x4,1.15,0.48,0,SI1,SI1,64,GH,SI1,18KW,,,1450.00,2900.00,0.00,0.00,GD64S.JPG,18K White Gold Lever Back Micro Pave Earring 1.15ct Oval Blue Sapphire D.48
R4652E12,RG,Emerald,Round,Green,1,6,0.78,0.50,0,SI1,SI1,94,GH,SI1,18KW,6.5,"""Larunda"" Ring",1700.00,3400.00,2.00,1.50,R4652E.jpg,18K White Gold Micro Pave Ring 0.78ct Round Emerald D.50
RMB60CG,RG,Green Sapphire,Cushion,Green,1,6.1x6.1,1.53,0.46,0,SI1,SI1,18,GH,SI1,18KW,6.5,"""Nadine"" Ring",1450.00,2900.00,2.10,2.50,RMB60CG.JPG,18K White Gold Halo Ring 1.53ct Cushion Green Sapphire D.46
R8F62R2,RG,Ruby,Round,Red,1,6.2,0.96,0.53,0,SI1,SI1,120,GH,SI1,18KW,6.5,"""Silvia"" Ring",1600.00,3200.00,2.20,5.50,R8F62R.jpg,18K White Gold Double Halo Twisted Shank Ring 0.96ct Round Ruby D.53
RFH144S,RG,Sapphire,Round,Blue,1,,1.44,0.98,2,SI1,SI1,100,GH,SI1,18KW,6.5,"""Luna""Ring",3000.00,6000.00,2.10,3.10,RFH144S.jpg,Sapphire 1.44ct. Half Moon 0.24ct. Dia 0.74. 18K White Gold
RMB6952S,RG,Sapphire,Cushion,Blue,1,6.9x5.1,1.28,0.53,0,SI1,SI1,18,GH,SI1,18KW,6.5,"""Amira"" Ring",2495.00,4990.00,1.90,2.50,RMB6952S.jpg,18K White Gold Halo Ring 1.28ct Cushion Blue Sapphire D.53
R7520S12,RG,Sapphire,Oval,Blue,1,7x5,1.20,0.17,0,SI1,SI1,34,GH,SI1,18KW,6.5,"""Maia"" Ring",1150.00,2300.00,1.30,2.10,r7520s.jpg,18K White Gold Micro Pave Ring 1.20ct Oval Blue Sapphire D.17
R7522S115,RG,Sapphire,Oval,Blue,1,7x5,1.20,0.65,0,SI1,SI1,94,GH,SI1,18KW,6.5,"""Pomona"" Ring",1600.00,3200.00,1.50,4.60,R7522S.jpg,18K White Gold Micro Pave Ring 1.20ct Oval Blue Sapphire D.65
RC7G,RG,Green Sapphire,Cushion,Green,1,,2.03,0.42,0,,SI1,0,GH,SI1,18KW,6.5,,1750.00,3500.00,2.40,3.40,RC7G.jpg,Green Sapphire 2.03ct. Dia 0.42ct. 18K White Gold
RM7165,RG,Emerald,Emerald Cut,Green,1,,1.58,0.37,0,,SI1,20,GH,SI1,18KW,6.5,"""Medeia"" Ring",1875.00,3900.00,2.90,3.30,RM7165.jpg,18K White Gold Halo Ring 1.58ct Emerald Cut Emerald D.37
R8H195,RG,Ruby,Round,Red,1,7.4,1.95,0.65,0,SI1,SI1,156,GH,SI1,18KW,6.5,"""Aella"" Ring",5000.00,10000.00,2.20,3.70,r8h.jpg,18K White Gold Double Halo Twisted Shank Ring 1.95ct Round Ruby D.65
RHM40S93,RG,Sapphire,Oval,Blue,1,7.7x6,1.67,0.22,2,SI1,SI1,2,GH,SI1,18KW,6.5,"""Kalypso"" Ring",1700.00,3400.00,1.40,2.60,RHM40S.jpg,18K White Gold Three Stone Ring 1.67ct Oval Blue Sapphire D.22
RHF174R1,RG,Ruby,Oval,Red,1,,1.74,0.51,2,SI1,SI1,36,GH,SI1,18KW,6.5,"""Clytia"" Ring",4995.00,9990.00,3.30,2.00,rhf174r1.JPG,18K White Gold Three Stone Halo Ring 1.74ct Oval Ruby HM.22 RD.29
GF408,ERNG,Sapphire,Square,Blue,2,7.8x7.6,4.08,2.05,4,SI1,SI1,44,GH,SI1,18KW,,,6450.00,12900.00,0.00,0.00,GF408.JPG,18K White Gold Fancy Micro Pave Earring 4.08ct Square Blue Sapphire F1.57 RD.48
PMB54S50,PDT,Sapphire,Oval,Blue,1,8x5.5,0.50,0.21,0,SI1,SI1,17,GH,SI1,18KW,,,495.00,990.00,0.00,0.00,PMB54S.JPG,18K White Gold Halo Pendant 0.50ct Oval Blue Sapphire
R8632S155,RG,Sapphire,Oval,Blue,1,8x6,1.55,0.69,0,SI1,SI1,120,GH,SI1,18KW,6.5,"""Clementine"" Ring",4275.00,8550.00,1.80,5.30,R8632S.jpg,18K White Gold Micro Pave Ring 1.55ct Oval Blue Sapphire D.69
NPC925P,NL,P. Sapphire,Oval,Pink,9,,9.25,2.61,0,,SI1,238,GH,SI1,18KW,,,8500.00,17000.00,0.00,0.00,npc925p.jpg,P. SAPPHIRE 9/9.25CT. DIA 238/2.61CT. 18W
RTF225,RG,Sapphire,Cushion,Blue,1,,2.25,0.52,2,SI1,SI1,24,GH,SI1,18KW,6.5,"""Nephele"" Ring",5500.00,11000.00,0.00,0.00,rtf225.JPG,18K White Gold Three Stone Halo Ring 2.25ct Cushion Blue Sapphire TRP.38 RD.14
R2F86S180,RG,Sapphire,Oval,Blue,1,8.1x5.8,1.80,0.45,2,SI1,SI1,64,GH,SI1,18KW,6.5,"""Angelique"" Ring",2750.00,5500.00,1.50,3.00,R2F86S.jpg,18K White Gold Three Stone Double Halo Ring 1.80ct Oval Blue Sapphire HM.21 RD.24
RMB86S153,RG,Sapphire,Oval,Blue,1,,1.53,0.54,0,,SI1,18,GH,SI1,18KW,6.5,"""San Fernando"" Ring",2250.00,4500.00,2.40,3.80,RMB86S.jpg,18K White Gold Halo Ring 1.53ct Oval Blue Sapphire D.54
RHM316,RG,Sapphire,Cushion,Blue,1,8.3x7.5,3.16,0.60,2,SI1,SI1,0,GH,SI1,18KW,6.5,"""Iris"" Ring",7000.00,14000.00,1.90,2.80,rhm316.JPG,18K White Gold Three Stone Ring 3.16ct Cushion Blue Sapphire HM.60
RH4361S,RG,Sapphire,Cushion,Blue,1,,3.61,0.92,2,SI1,SI1,52,GH,SI1,18KW,6.5,"""Osorno"" Ring",7000.00,14000.00,3.20,3.40,RH4361S.jpg,18K White Gold Three Stone Halo Ring 3.61ct Cushion Blue Sapphire HM.42 RD.50
R8H8466S,RG,Sapphire,Cushion,Blue,1,8.4x6.6,2.42,0.60,0,SI1,SI1,142,GH,SI1,18KW,6.5,"""Akantha"" Ring",6495.00,12990.00,2.10,3.70,R8H8466S.jpg,18K White Gold Double Halo Twisted Shank Ring 2.42ct Cushion Blue Sapphire D.60
RHF8771R,RG,Ruby,Cushion,Red,1,8.7x7.1,1.87,0.95,2,SI1,SI1,36,GH,SI1,18KW,6.5,"""Hero"" Ring",4995.00,9990.00,1.70,2.70,RHF8771R.jpg,18K White Gold Three Stone Halo Ring 1.87ct Cushion Ruby HM.54 RD.41
RHF294,RG,Sapphire,Oval,Blue,1,8.9x6.8,2.94,0.99,2,SI1,SI1,40,GH,SI1,18KW,6.5,"""Eileithyia"" Ring",7000.00,14000.00,1.50,2.70,RHF294.jpg,18K White Gold Three Stone Halo Ring 2.94ct Oval Blue Sapphire HM.58 RD.41
PF176S,PDT,Sapphire,TRAP,Blue,1,,1.76,0.62,0,SI1,SI1,51,GH,SI1,18KW,,,3000.00,6000.00,0.00,0.00,pf176s.JPG,18K White Gold Double Micro Pave Pendant 1.76ct Trapezoid Blue Sapphire D.62
RHFMB9073S,RG,Sapphire,Oval,Blue,1,,2.54,0.75,2,SI1,SI1,36,GH,SI1,18KW,6.5,"""Xanthe"" Ring",5500.00,11000.00,2.50,3.30,rhfmb9073s.JPG,18K White Gold Three Stone Cluster Halo Ring 2.54ct Oval Blue Sapphire HM.30 D.45
R2C97S,RG,Sapphire,Oval,Blue,1,,2.10,0.52,0,,SI1,64,GH,SI1,18KW,6.5,,3125.00,6250.00,2.90,2.50,r2c97s.JPG,18K White Gold Double Halo Ring 2.10ct Oval Blue Sapphire D.52
RMB9270,RG,Emerald,Oval,Green,1,9.2x6.9,1.74,0.42,0,SI1,SI1,22,GH,SI1,18KW,6.5,"""Kala"" Ring",1875.00,3900.00,2.20,2.90,RMB9270.jpg,18K White Gold Halo Ring 1.74ct Oval Emerald D.42
RHF358S,RG,Sapphire,Oval,Blue,1,,3.58,0.84,2,SI1,SI1,36,GH,SI1,18KW,6.5,"""Colina"" Ring",6330.00,12660.00,3.00,3.40,RHF358S.jpg,18K White Gold Three Stone Halo Ring 3.58ct Oval Blue Sapphire HM.35 RD.49
RHM165R,RG,Ruby,Cushion,Red,1,9.5x6,1.65,1.05,2,SI1,SI1,0,GH,SI1,18KW,6.5,"""IO"" Ring",4000.00,8000.00,1.60,2.70,RHM165R.JPG,18K White Gold Three Stone Ring 1.65ct Cushion Ruby HM.1.05
R2WF371,RG,Sapphire,Emerald Cut,Blue,1,9.7x6.8,3.71,0.75,2,SI1,SI1,90,GH,SI1,18KW,6.5,"""Felicitas"" Ring",11000.00,22000.00,2.80,1.60,R2WF371.jpg,18K White Gold Three Stone Double Halo Ring 3.71ct Emerald Cut Blue Sapphire TRP.30 RD.45
