Vendor SKU,Category,Center Stone Type,Center Stone Shape,Center Stone Color,# of Center Stones,Center Stone Measurements,Center Stone Weight,Total Diamond Weight,# of side Diamonds,Color of Side diamonds,Clarity of Side diamonds,# of Pave Diamonds,Color of Pave diamonds,Clarity of Pave Diamonds,Metal,Ring Size,Item Name,R2Net Cost,Suggested Retail,Shank Width in MM,Shank Height,Image Name,Long Description
R8B9778S,RG,Sapphire,Oval,Blue,1,9.7x7.8,3.60,0.69,8,SI1,SI1,14,GH,SI1,18KW,6.5,"""Cynthia"" Ring",9500.00,19000.00,2.10,2.30,R8B9778S.jpg,18K White Gold Round and Baguette Ring 3.60ct Oval Blue Sapphire BG.37 RD.32
RCY9685,RG,Sapphire,Cushion,Blue,1,,4.16,0.57,0,,SI1,46,GH,SI1,18KW,6.5,"""Tisiphone"" Ring",9000.00,18000.00,2.60,1.80,rcy9685.JPG,18K White Gold Split Shank Halo Ring 4.16ct Cushion Blue Sapphire D.57
RFE371G,RG,Green Sapphire,Radiant,Green,1,,3.71,1.84,2,SI1,SI1,157,GH,SI1,18KW,6.5,"""Astraea"" Ring",4995.00,9990.00,3.60,2.30,rfe371g.JPG,18K White Gold Double Halo Three Stone Ring 3.71ct Radiant Green Sapphire TRP.44 RD.1.40
RHFMB10274S,RG,Sapphire,Oval,Blue,1,,3.28,0.81,2,SI1,SI1,40,GH,SI1,18KW,6.5,"""Iquique"" Ring",8250.00,16500.00,2.40,4.00,RHFMB10274S.jpg,18K White Gold Three Stone Cluster Halo Ring 3.28ct Oval Blue Sapphire HM.27 D.54
RB97S,RG,Sapphire,Emerald Cut,Blue,1,10.3x7.5,3.20,1.54,0,SI1,SI1,18,GH,SI1,18KW,6.5,"""Lili"" Ring",10750.00,21500.00,2.20,3.00,rb97s.JPG,18K White Gold Baguette Ring 3.20ct Emerald Cut Blue Sapphire D.1.54
R2W10474,RG,Sapphire,Oval,Blue,1,,3.07,0.76,2,SI1,SI1,78,GH,SI1,18KW,6.5,"""Aniya"" Ring",4995.00,9990.00,1.80,2.80,R2W10474.jpg,18K White Gold Three Stone Double Halo Ring 3.07ct Oval Blue Sapphire HM.32 D.44
RC442S,RG,Sapphire,Oval,Blue,1,,4.42,1.65,0,,SI1,12,GH,SI1,18KW,,,9750.00,19500.00,2.40,3.20,rc442s.jpg,SAPPHIRE 4.42CT. DIA 1.65CT. 18W
RHF310S,RG,Sapphire,Oval,Blue,1,10.7x7.1,3.10,0.62,2,SI1,SI1,40,GH,SI1,18KW,6.5,"""Elpis"" Ring",6000.00,12000.00,1.80,2.50,RHF310S.jpg,18K White Gold Three Stone Halo Ring 3.10ct Oval Blue Sapphire F.29 RD.33
GPC865S,ERNG,Sapphire,PS,Blue,2,,8.65,4.50,0,,SI1,60,GH,SI1,18KW,,,39500.00,79000.00,0.00,0.00,gpc865s.jpg,SAPPHIRE 2/8.65CT. DIA 60/4.50CT. 18W
RFDCU118S,RG,Sapphire,Cushion,Blue,1,,3.65,1.65,0,,SI1,130,GH,SI1,18KW,6.5,"""Tethys"" Ring",9750.00,19500.00,3.20,2.80,rfdcu118s.JPG,18K White Three Stone Double Shank Halo Ring 3.65ct Cushion Blue Sapphire HM.71 D.1.65
RW911,RG,Sapphire,Emerald Cut,Blue,1,12.5x8,9.11,1.16,0,SI1,SI1,80,GH,SI1,18KW,6.5,"""Skye"" Ring",40000.00,80000.00,1.70,2.90,rw911.JPG,18K White Gold Split Shank Double Halo Ring 9.11ct Emerald Cut Blue Sapphire D1.16
RHF783,RG,Sapphire,Oval,Blue,1,13.6x10.3,7.83,1.17,2,SI1,SI1,22,GH,SI1,18KW,6.5,"""Helena"" Ring",24250.00,48500.00,3.10,1.40,RHF783.jpg,18K White Gold Three Stone Halo Ring 7.83ct Oval Blue Natural Sapphire HM.58 RD.59
RCV857R,RG,Ruby,Cushion,Red,1,,8.57,0.63,0,,SI1,100,GH,SI1,18KW,6.5,,19800.00,39600.00,2.30,2.80,RCV857R.jpg,Double Halo Ring. Ruby 8.57ct. RD .63ct. 18K White Gold
GF3215PB,ERNG,Paraiba,PS,Blue,2,SLICE 32X15.5,29.75,0.97,0,,SI1,112,GH,SI1,18KW,,,9250.00,18500.00,0.00,0.00,gf3215pb.jpg,PARAIBA 2/29.75CT. P. TRML 2/0.85CT. DIA 112/0.97CT. 18W
RVJ530PB,RG,Paraiba,CAB,Blue,1,,5.30,1.21,0,,SI1,122,GH,SI1,18KW,,,30000.00,60000.00,0.00,0.00,rvj530pb.jpg,PARAIBA 5.30CT. DIA 122/1.21CT. 18W
NF421PB,NL,Paraiba,PS,Blue,1,,4.21,0.67,0,,SI1,105,GH,SI1,18KW,,,45000.00,90000.00,0.00,0.00,NF421PB.jpg,PARA 4.21.P.TRM 1.14.D.67. 18KW
RF180PB,RG,Paraiba,Oval,Blue,1,,1.80,0.48,0,,SI1,42,GH,SI1,18KW,6.5,"""Punta Arenas"" Ring",11500.00,23000.00,0.00,0.00,RF180PB.jpg,PAR 1.80.P.TRM.29.D.48
RTF248P,RG,P. Sapphire,Cushion,Pink,1,. Cushion. Pink 9.0x7.6,2.48,0.00,0,,,0,,,18KW,,,3750.00,7500.00,0.00,0.00,rtf248p.jpg,P. SAPPHIRE 2.48CT. FANCY DIA 0.36CT. RD DIA 46/0.23CT. 18W
RPY406R,RG,Ruby,Cushion,Red,1,,4.06,0.99,2,SI1,SI1,0,GH,SI1,18KW,6.5,"""Laura""Ring",23500.00,47000.00,0.00,0.00,RPY406R.jpg,Ruby 4.06ct. Fancy Dia 0.74ct. Rd.Dia 0.25ct. 18W
RJC309P,RG,Paraiba,Oval,Blue,1,,3.09,0.51,0,,SI1,32,GH,SI1,18KW,,,50000.00,100000.00,2.00,4.00,rjc309p.jpg,PARAIBA 3.09CT. OV PAR 10/0.65CT. DIA 32/0.51CT. 18W
RJF70S1,RG,Sapphire,Round,Blue,0,,0.00,0.00,0,,,0,,,18KW,,,3000.00,6000.00,0.00,0.00,rjf70s.jpg,SAPPHIRE 1.91CT. DIA 126/0.52CT. 18W
NPC17688,NL,Sapphire,Cushion,Nulti,0,,0.00,0.00,0,,,0,,,18KW,,,8400.00,16800.00,0.00,0.00,npc17688.jpg,Multicolor Sapphire 11.55ct. Diamond 2.25ct. 18W
G75103S205,ERNG,Sapphire,Oval,Blue,2,,2.05,0.80,0,,SI1,0,GH,SI1,18KW,,,1875.00,3750.00,0.00,0.00,G75103S.jpg,SAPPHIRE 2.05CT. DIA 0.80ct. 18W
RTF234R,RG,Ruby,EC,Red,1,,2.34,0.46,2,SI1,SI1,44,GH,SI1,18KW,,,10000.00,20000.00,0.00,0.00,rtf234r.jpg,RUBY 2.34CT. F DIA 2/0.26CT. RD DIA 44/0.20
RH2S205,RG,Sapphire,,Blue,1,,2.05,0.96,2,SI1,SI1,48,GH,SI1,18KW,6.5,"""Puerto Montt"" Ring",5500.00,11000.00,0.00,0.00,RH2S205.jpg,SA 2.05. HM.42. RD.54. 18KW
NCA75R313,NL,Ruby,Cushion,Red,26,,29.36,9.50,27,,,1018,,,18KW,,,90000.00,180000.00,0.00,0.00,NCA75R313.jpg,RUBY 29.36. F 5.03. RD 4.47. 18KW
G4516S90,ERNG,Sapphire,Round,Blue,2,4.5,0.90,0.35,0,SI1,SI1,24,GH,SI1,18KW,,,900.00,1800.00,0.00,0.00,G4516S.jpg,18K White Gold Halo Earring 0.90ct Round Sapphire D.30
P91R,PDT,Ruby,Round,Red,10,2.5,0.40,0.21,0,SI1,SI1,18,GH,SI1,18KW,,,425.00,850.00,0.00,0.00,P91R.jpg,18K White Gold Micro Pave Pendant 0.40ct Round Ruby
PE16970,PDT,Emerald,PS,Green,1,,1.22,0.15,0,,SI1,0,GH,SI1,18KW,,,2800.00,5600.00,0.00,0.00,,EMERALD 1.22CT. DIA 0.15CT. 18W
RHF157S,RG,Sapphire,Oval,Blue,1,,1.57,0.37,0,,SI1,2,GH,SI1,18KW,,,2600.00,5200.00,2.00,4.00,rhf157s.jpg,SAPPHIRE 1.57CT. HM DIA 0.37CT. 18W
RH2S231,RG,Sapphire,Oval,Blue,1,,2.31,0.98,2,SI1,SI1,48,GH,SI1,18KW,6.5,"""Mar del plata"" Ring",4500.00,9000.00,3.70,4.80,RH2S231.jpg,18K White Gold Three Stone Halo Ring 2.31ct Oval Blue Sapphire HM.42 RD.56
R1211S,RG,Sapphire,Round,Blue,1,9.4,4.45,1.32,0,SI1,SI1,12,GH,SI1,18KW,6.5,"""Angerona"" Ring",14000.00,28000.00,3.00,1.60,R1211S.jpg,18K White Gold Cluster Ring 4.45ct Round Natural Blue Sapphire D1.32
RHF315S,RG,Sapphire,Oval,Blue,1,,3.15,0.72,2,SI1,SI1,42,GH,SI1,18KW,6.5,"""Carina""Ring",5250.00,10500.00,2.90,2.50,RHF315S_.jpg,18K White Gold Three Stone Halo Ring 3.15ct Oval Sapphire HM 2/0.36ct. RD 42/0.36ct
RP462R,ERNG,Ruby,PS,Red,2,,4.62,2.00,0,,SI1,0,GH,SI1,18KW,,,16000.00,32000.00,0.00,0.00,rp462r.jpg,RUBY 4.62CT. DIA 2.00CT. 18W
GPC1642BZ,ERNG,Blue Zircon,Oval,Blue,2,,16.42,1.00,0,,SI1,54,GH,SI1,18KW,,,4750.00,9500.00,0.00,0.00,gpc1642bz.jpg,BLUE ZIRCON 16.42CT. DIA 54/1.00CT. 18W
RHF465R,RG,Ruby,CC,Red,1,,4.65,0.68,2,SI1,SI1,58,GH,SI1,18KW,6.5,"""Lilly"" Ring",9500.00,19000.00,3.50,4.40,RHF465R.jpg,18K White Gold Three Stone Halo Ring 4.65ct Cushion Ruby F.25 RD.43
RHF408R,RG,Ruby,EC,Red,1,,4.08,1.27,2,SI1,SI1,62,GH,SI1,18KW,6.5,"""Patagonia"" Ring",19300.00,38600.00,3.40,3.90,RHF408R.jpg,18KW Three Stone Halo Ring 4.08ct EC Ruby TRP.71 RD.56
RH21008S,RG,Sapphire,Cushion,Blue,1,,10.08,1.81,2,SI1,SI1,62,GH,SI1,18KW,6.5,"""Mendoza"" Ring",75000.00,150000.00,3.60,3.90,RH21008S.jpg,18K Three Stone Halo Ring 10.08ct Cushion Blue Sapphire TRP1.00 RD.81
REF193PB,RG,Paraiba,Oval,Blue,1,,1.93,1.20,2,SI1,SI1,0,GH,SI1,18KW,6.5,,14500.00,29000.00,0.00,0.00,ref193pb.jpg,PARAIBA 1.93CT. F. DIA. 0.21CT. RD. DIA. 0.60CT. 18W
GF300PB,ERNG,Paraiba,Oval,Blue,2,,3.00,1.12,0,,SI1,216,GH,SI1,18KW,,,22500.00,45000.00,0.00,0.00,gf300pb_.jpg,PARAIBA 2/3.00CT. RD. PARA 72/0.68CT. DIA 216/1.12CT. 18W
PFL4136E,PDT,Emerald,PS,Green,1,,20.55,0.68,0,,SI1,116,GH,SI1,18KY,,,2750.00,5500.00,0.00,0.00,PFL4136E.jpg,EME 20.55.P.TRM.0.47.D0.68 18KY
NFL766F,NL,Opal,Cushion,Orange,1,,7.66,1.02,0,,SI1,125,GH,SI1,18KY,,,3000.00,6000.00,0.00,0.00,NFL766F.jpg,F.OPAL 7.66.D1.02
NFL909F,NL,Opal,Cushion,Orange,1,,9.09,1.06,0,,SI1,129,GH,SI1,18KY,,,3500.00,7000.00,0.00,0.00,NFL909F.jpg,Fire Opal 9.09. D1.06
GF4595,ERNG,Emerald,PS,Green,2,,45.95,1.77,0,,SI1,160,GH,SI1,18KY,,,5500.00,11000.00,0.00,0.00,GF4595.jpg,EME 45.95.P.TRM1.68.D1.77.18KY
RR2797,STU,Sapphire,Round,Blue,2,,0.86,0.00,0,,,0,,,18KY,,,315.00,630.00,0.00,0.00,RR.JPG,SAP 0.86. 18KY
FTS12070,STU,Sapphire,Round,Blue,2,,0.70,0.00,0,,,0,,,18KY,,,200.00,400.00,0.00,0.00,fts3514.JPG,SAP 0.70. 18K
FTS23514,STU,Sapphire,Round,Blue,2,,1.40,0.00,0,,,0,,,18KY,,,300.00,600.00,0.00,0.00,fts3514.JPG,SAP 1.40. 18K
FTS35016,STU,Sapphire,Round,Blue,2,,1.60,0.00,0,,,0,,,18KY,,,420.00,840.00,0.00,0.00,fts3514.JPG,SAP 1.60. 18K
G5510613,ERNG,Sapphire,Round,Blue,2,5.5,1.39,1.20,0,SI1,SI1,20,GH,SI1,18KY,,,1900.00,3800.00,0.00,0.00,G55106.JPG,18K White Gold Cluster Earring 1.39ct Round Blue Sapphire D1.20
NS137107,NL,Opal,Oval,Orange,1,,4.48,0.83,0,,SI1,190,GH,SI1,18KY,,,2500.00,5000.00,26.31,35.58,ns137107.JPG,Fire Opal 4.48. D83 18KY
NS14102,NL,Opal,Oval,Orange,1,,4.20,0.80,0,,SI1,190,GH,SI1,18KY,,,2500.00,5000.00,26.21,35.91,ns14102.JPG,Fire Opal 4.20. D.80. 18K
PFE2932E,PDT,Emerald,Oval,Green,1,,29.32,0.90,0,,SI1,123,GH,SI1,18KY,,,2750.00,5500.00,0.00,0.00,PFE2932E.jpg,EMERALD 29.32CT. DIA 123/0.90. 18KY
PT75E9,PDT,Emerald,Oval,Green,1,,0.92,0.19,0,,SI1,32,GH,SI1,18KY,,,950.00,1900.00,0.00,0.00,PT75E9_S.jpg,Eme 0.92ct. Dia 32/0.19ct. 18KY
NP17122,NL,Sapphire,Oval,Blue,1,,3.72,1.65,0,,SI1,14,GH,SI1,18KY,,,6000.00,12000.00,0.00,0.00,np17122.jpg,Sapphire 3.72ct. Diamonds 1.65ct 18KY
BP13672,TNSB,Sapphire,Square,Blue,26,,5.78,1.25,28,SI1,,0,,,18KY,,,6000.00,12000.00,0.00,0.00,,Sapphires 5.78ct. Diamonds 1.25ct. 18KY
PT75S150,PDT,Sapphire,Oval,Blue,1,,1.50,0.22,0,,SI1,42,GH,SI1,18KY,,,700.00,1400.00,0.00,0.00,pt75s150.jpg,SA 1.50ct.D 42/0.22 18KY
G4082S13,ERNG,Sapphire,Round,Blue,2,4,0.80,0.30,0,SI1,SI1,16,GH,SI1,18KY,,,725.00,1450.00,0.00,0.00,G4082S.jpg,18K Yellow Gold Cluster Earring 0.80ct Round Blue Sapphire D.30
FTS23580,STU,Sapphire,Round,Blue,2,,0.80,0.00,0,,,0,,,18KY,,,240.00,480.00,0.00,0.00,fts3514.JPG,SAP 0.80. 18K
FTS23510,STU,Sapphire,Round,Blue,2,,1.00,0.00,0,,,0,,,18KY,,,350.00,700.00,0.00,0.00,fts3514.JPG,SAP 1.00. 18K
RB276R,RG,Ruby,Round,Red,1,,2.76,1.04,0,,SI1,18,GH,SI1,18KY,6.5,"""Alkippe"" Ring",7150.00,14300.00,1.40,1.90,rb276r.JPG,18K Yellow Gold Ring 2.76ct Round Ruby D.1.04
P543E70,PDT,Emerald,Oval,Green,5,4x3,0.70,0.26,0,SI1,SI1,9,GH,SI1,18KY,,,725.00,1450.00,0.00,0.00,p543e.JPG,18K Yellow Gold Flower Pendant 0.70ct Oval Emerald D.26
B4321M68,TNSB,Multi Color,Oval,Nulti,29,,6.57,0.73,0,,,58,,,2T14K,,,2850.00,5700.00,0.00,0.00,B4321M.JPG,RB SAP 6.57 D.73. 2T14K
RHM422,RG,Sapphire,Cushion,Blue,1,9.6x8.9,4.22,0.55,2,SI1,SI1,0,GH,SI1,PL18K,6.5,"""Kassandra"" Ring",5750.00,11500.00,1.10,3.00,RHM422.jpg,Plat/18Y Three Stone Ring 4.22ct Cushion Blue Sapphire HM.55
RHF443E,RG,Emerald,Oval,Green,1,,4.43,1.87,2,SI1,SI1,72,GH,SI1,PLAT/18K,,,36000.00,72000.00,2.20,2.20,rhf443e.jpg,EMERALD 4.43CT. FANCY DIA 2/0.82CT. RD DIA 72/1.05. PLAT/18Y
RJF529E,RG,Emerald,Round,Green,1,,5.29,1.61,2,SI1,SI1,204,GH,SI1,PLAT/18K,6.5,"""Palas""Ring",50000.00,100000.00,2.60,8.00,rjf529e.jpg,Emerald 5.29ct. Rd. Dia 204/1.35ct. Fancy Dia 2/0.26ct. Plat/ 18Y
EA3338,RG,,,,0,,0.00,0.00,0,,,0,,,PLAT/SILVER,6.5,,13550.00,27100.00,0.00,0.00,,DIA 19/5.42 HI/VS
EA5044,RG,,,,0,,0.00,0.00,0,,,0,,,PLAT/SILVER,6.5,,23000.00,46000.00,0.00,0.00,,DIA 15/7.35 HI/VS
EC334037,RG,,,,0,,0.00,0.00,0,,,0,,,PLAT/SILVER,6.5,,14000.00,28000.00,0.00,0.00,,DIA 18/5.60 GH.SI
EA3338-6,RG,,,,0,,0.00,0.00,0,,,0,,,PLTN,6.5,,13000.00,26000.00,0.00,0.00,,DIA 18/5.13 G.VS
RSE701,RG,Ruby,Emerald Cut,Red,1,8.7x5.5,2.34,0.72,2,SI1,,0,,,PLTN,6.5,"""Nemesis"" Ring",12500.00,25000.00,2.80,2.50,RSE70.JPG,Plat Three Stone Ring 2.34ct Emerald Cut Ruby D.72
RV626V,RG,Sapphire,Oval,Blue,1,,6.26,1.60,0,,SI1,2,GH,SI1,PLTN,6.5,"""Casablanca"" Ring",24500.00,49000.00,1.91,2.20,,Plat Three Stone Ring 6.26ct Oval Blue Sapphire D1.60
RVC577S,RG,Sapphire,EC,Blue,1,,5.77,0.00,0,,,0,,,PLTN,6.5,,25000.00,50000.00,0.00,0.00,rvc577s.jpg,SAPP 5.77ct. TRP 0.85ct. D.1.15 PLAT
RBD210S,RG,Sapphire,EC,Blue,3,,2.10,1.01,0,,SI1,2,GH,SI1,PLTN,6.5,,7000.00,14000.00,0.00,0.00,rbd210s.jpg,Sapphire 3/2.10ct. Dia 2/1.01ct. PLAT
ED253832PB,RG,Paraiba,Round,White,40,,0.30,4.84,0,SI1,SI1,20,GH,SI1,PLTN,6.5,,10750.00,21500.00,0.00,0.00,ED253832PB.jpg,RAD 20/4.84.PAR 40/.30 GH VS
RHM376S,RG,Sapphire,Cushion,Blue,1,,3.76,0.46,0,SI1,SI1,2,GH,SI1,PLTN,6.5,"""Lima"" Ring",8350.00,16700.00,1.90,3.00,RHM376S.jpg,Plat Three Stone Ring 3.76ct Cushion Blue Sapphire F.46
RHF370S,RG,Sapphire,Oval,Blue,1,,3.70,0.70,2,SI1,SI1,46,GH,SI1,PLTN,6.5,"""Talca"" Ring",8000.00,16000.00,2.40,3.80,RHF370S.jpg,Plat Three Stone Halo Ring 3.70ct Oval Blue Sapphire F.40 RD.30
RHM454S,RG,Sapphire,Cushion,Blue,1,10.2x8.6,4.54,0.90,2,SI1,SI1,0,GH,SI1,PLTN,6.5,"""Kassiopeia"" Ring",18750.00,37500.00,1.60,2.80,RHM454S.jpg,Plat Three Stone Ring 4.54ct Cushion Blue Sapphire HM.90
RPE844S,RG,Sapphire,Cushion,Blue,1,,8.44,2.17,0,,SI1,2,GH,SI1,PLTN,,,47500.00,95000.00,3.00,3.00,rpe844s.jpg,SAPPHIRE 8.44CT. EM DIA 2.17CT. PLAT
RHF574,RG,Sapphire,Cushion,Blue,1,12.2x8.8,5.74,1.25,2,SI1,SI1,42,GH,SI1,PLTN,6.5,"""Gaia"" Ring",22500.00,45000.00,2.20,3.20,RHF574.jpg,Plat Three Stone Halo Ring 5.74ct Cushion Blue Sapphire F.77 RD.48
RHF695,RG,Sapphire,Oval,Blue,1,12.2x9.4,6.95,1.25,2,SI1,SI1,54,GH,SI1,PLTN,6.5,"""Hekate"" Ring",23750.00,47500.00,1.80,2.40,RHF695.jpg,Plat Three Stone Halo Ring 6.95ct Oval Blue Sapphire F.79 RD.46
RHF902,RG,Sapphire,Cushion,Blue,1,12.7x10.7,9.02,1.58,2,SI1,SI1,54,GH,SI1,PLTN,6.5,"""Hestia"" Ring",23750.00,47500.00,1.80,2.90,RHF902.jpg,Plat Three Stone Halo Ring 9.02ct Cushion Blue Sapphire F.75 RD.83
RT1125S,RG,Sapphire,EC,Blue,1,,11.25,1.53,0,,SI1,2,GH,SI1,PLTN,6.5,,40000.00,80000.00,0.00,0.00,RT1125S.jpg,SAPPHIRE 11.25CT. TR DIA. 2/1.53CT.PLTN
RTF647,RG,Sapphire,Emerald Cut,Blue,0,10.5x8.6,6.47,1.09,2,SI1,SI1,52,GH,SI1,PLTN,6.5,"""Oinone"" Ring",30000.00,60000.00,2.80,1.80,RTF647.JPG,Plat Three Stone Halo Ring 6.47ct Emerald Cut Blue Natural Sapphire TRP.64 RD.45
RHF623S,RG,Sapphire,Oval,Blue,1,,6.23,1.21,2,SI1,SI1,0,GH,SI1,PLTN,6.5,,14000.00,28000.00,0.00,0.00,RHF623S.jpg,Plat Three Stone Halo Ring 6.23ct Oval Blue Natural Sapphire HM.76 RD.45
RHF508R,RG,Ruby,Cushion,Red,1,,5.08,1.49,2,SI1,SI1,50,GH,SI1,PLTN,6.5,"""Marla"" Ring",39300.00,78600.00,3.00,3.40,RHF508R.jpg,Plat Three Stone Halo Ring 5.08ct Cushion Ruby HM.94 RD.55
RHM519,RG,Ruby,Oval,Red,1,11.9x9.8,5.19,1.01,2,SI1,SI1,0,GH,SI1,PLTN,6.5,"""Kirke"" Ring",71500.00,143000.00,1.80,3.30,RHM519_.jpg,Plat Three Stone Ring 5.19ct Oval Ruby D.1.01
